Make_Model,Total_Accidents,Total_Fatalities,Fatal_Accidents,Avg_Fatalities_Per_Accident,Proportion_Fatal
107.5 FLYING CORPORATION ONE DESIGN DR 107,1,1.0,1,1.0,1.0
1200 G103,1,0.0,0,0.0,0.0
177MF LLC PITTS MODEL 12,1,0.0,0,0.0,0.0
1977 COLFER-CHAN STEEN SKYBOLT,1,0.0,0,0.0,0.0
1ST FTR GP FOCKE-WULF 190,1,1.0,1,1.0,1.0
2000 MCCOY GENESIS,1,1.0,1,1.0,1.0
2001 MCGIRL QUESTAIR VENTURE,1,0.0,0,0.0,0.0
2003 NASH KITFOX II,1,0.0,0,0.0,0.0
2007 SAVAGE AIR LLC EPIC LT,1,0.0,0,0.0,0.0
2021FX3 LLC CCX-2000,2,0.0,0,0.0,0.0
3XTRIM 450 ULTRA,1,1.0,1,1.0,1.0
5 RIVERS LLC SQ-2,1,0.0,0,0.0,0.0
67 FLYING DUTCHMAN D1/LFD-13,1,0.0,0,0.0,0.0
737 800,2,0.0,0,0.0,0.0
777 FF2,1,0.0,0,0.0,0.0
781569 INC FX 210,1,0.0,0,0.0,0.0
85 MANISTA KB-2,1,1.0,1,1.0,1.0
A PAIR OF JACKS RV-6A,1,0.0,0,0.0,0.0
A. H. GETTINGS GLASSAIR SH2,1,0.0,0,0.0,0.0
A. LE FRANCOIS RANS S-7,1,0.0,0,0.0,0.0
A. SCHLEICHER GMBH & CO. ASW 27-18,1,0.0,0,0.0,0.0
AAA AIRCRAFT LEASING 192,1,2.0,1,2.0,1.0
AAA AIRCRAFT LLC CCX-2000,1,0.0,0,0.0,0.0
AARDEMA ROBERT JOHN 1 AARDEMA RAG WNG SP,1,0.0,0,0.0,0.0
AB SPORTINE AVIACIJA GENESIS 2,4,1.0,1,0.25,0.25
AB SPORTINE AVIACIJA LAK 17,1,0.0,0,0.0,0.0
AB SPORTINE AVIACIJA LAK-17A,1,0.0,0,0.0,0.0
ABBETT GERRY LANCAIR EVOLUTION,1,0.0,0,0.0,0.0
ABBEY VICTOR RV9-A,1,0.0,0,0.0,0.0
ABBOTT GLASAIR LEGEND,1,0.0,0,0.0,0.0
ABBOTT GYROPLANE,1,0.0,0,0.0,0.0
ABBOTT RAF 2000,1,0.0,0,0.0,0.0
ABC ABC 60 PLUS,1,0.0,0,0.0,0.0
ABERNATHY LONG-EZ,1,0.0,0,0.0,0.0
ABERNATHY STREAKER,1,0.0,0,0.0,0.0
ABRAHAM J G II/ERICKSON K ONE DESIGN,1,0.0,0,0.0,0.0
ABRAMS TITAN TORNADO,1,0.0,0,0.0,0.0
ABRAMS/NUDING QUICKIE Q2,1,0.0,0,0.0,0.0
ABRUZZO GROM-1,1,0.0,0,0.0,0.0
AC MFG & DEV'T CO CH 2000,1,0.0,0,0.0,0.0
ACES HIGH CUBY B,1,0.0,0,0.0,0.0
ACKERT DAKOTA HAWK DH23,1,0.0,0,0.0,0.0
ACKLAND JEFFREY DEAN SH 3R,1,0.0,0,0.0,0.0
ACRO SPORT ACRO SPORT,1,0.0,0,0.0,0.0
ACRO SPORT ACRODUSTER II SA750,1,0.0,0,0.0,0.0
ACRO SPORT II,1,0.0,0,0.0,0.0
ACRO SUPER ACRO SPORT I,1,0.0,0,0.0,0.0
ACRODUSTER II,1,1.0,1,1.0,1.0
ACRODUSTER SA-750,1,0.0,0,0.0,0.0
ADAMS A-60,1,0.0,0,0.0,0.0
ADAMS A55,4,0.0,0,0.0,0.0
ADAMS A55S,6,1.0,1,0.16666666666666666,0.16666666666666666
ADAMS A60S,1,0.0,0,0.0,0.0
ADAMS AB,2,0.0,0,0.0,0.0
ADAMS AIRBORNE AUSTRALIA O,1,1.0,1,1.0,1.0
ADAMS AX-9,1,0.0,0,0.0,0.0
ADAMS BALLOON A55,1,0.0,0,0.0,0.0
ADAMS BALLOONS LLC A55S,1,0.0,0,0.0,0.0
ADAMS BOREDOM FIGHTER,1,0.0,0,0.0,0.0
ADAMS DENNIS ALLEN VARIEZE,1,0.0,0,0.0,0.0
ADAMS DONALD L DA1,1,1.0,1,1.0,1.0
ADAMS DRAGONFLY,1,0.0,0,0.0,0.0
ADAMS JOHN R JR PIEL DIAMANT,1,0.0,0,0.0,0.0
ADAMS KITFOX,1,0.0,0,0.0,0.0
ADAMS ROTORWAY EXEC-90,1,0.0,0,0.0,0.0
ADAMS RV-6A,1,1.0,1,1.0,1.0
ADAMS SONERAI II,1,1.0,1,1.0,1.0
ADAMS THORPE T-18,1,0.0,0,0.0,0.0
ADAMS UNKNOWN,1,0.0,0,0.0,0.0
ADAMS WILLIAM C QUICKIE Q1,1,0.0,0,0.0,0.0
ADKINS RIDGE RUNNER II,2,0.0,0,0.0,0.0
ADLER SA-1,1,1.0,1,1.0,1.0
ADOLFSON STARDUSTER SA300,1,1.0,1,1.0,1.0
ADOLPHSON CCK-1865,1,0.0,0,0.0,0.0
ADRIAN DAVIS LONG-EZ,1,1.0,1,1.0,1.0
